,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance,CfExternalRiskEstimate,CfMSinceOldestTradeOpen,CfMSinceMostRecentTradeOpen,CfAverageMInFile,CfNumSatisfactoryTrades,CfNumTrades60Ever2DerogPubRec,CfNumTrades90Ever2DerogPubRec,CfPercentTradesNeverDelq,CfMSinceMostRecentDelq,CfMaxDelq2PublicRecLast12M,CfMaxDelqEver,CfNumTotalTrades,CfNumTradesOpeninLast12M,CfPercentInstallTrades,CfMSinceMostRecentInqexcl7days,CfNumInqLast6M,CfNumInqLast6Mexcl7days,CfNetFractionRevolvingBurden,CfNetFractionInstallBurden,CfNumRevolvingTradesWBalance,CfNumInstallTradesWBalance,CfNumBank2NatlTradesWHighUtilization,CfPercentTradesWBalance,GoalScore,GoalValue,GoalName,method,model
8000,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,73.0,149.0,3.0,62.0,25.0,0.0,0.0,100.0,-7.0,7.0,8.0,25.0,5.0,20.0,2.0,2.0,2.0,30.0,58.0,4.0,3.0,3.0,58.0,0.7675945162773132,1,RiskPerformance,DiCE-kdtree,XGBoost
5299,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,75.0,140.0,7.0,56.0,21.0,0.0,0.0,100.0,-7.0,7.0,8.0,22.0,1.0,27.0,0.0,1.0,1.0,20.0,63.0,3.0,2.0,1.0,56.0,0.6146793961524963,1,RiskPerformance,DiCE-kdtree,XGBoost
6364,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,76.0,138.0,5.0,48.0,20.0,0.0,0.0,100.0,-7.0,7.0,8.0,20.0,2.0,35.0,0.0,0.0,0.0,40.0,72.0,2.0,2.0,1.0,50.0,0.5111590027809143,1,RiskPerformance,DiCE-kdtree,XGBoost
6453,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,72.0,131.0,7.0,57.0,24.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,2.0,25.0,0.0,0.0,0.0,28.0,42.0,6.0,2.0,2.0,50.0,0.5006847977638245,1,RiskPerformance,DiCE-kdtree,XGBoost
324,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,76.0,128.0,3.0,47.0,32.0,0.0,0.0,100.0,-7.0,7.0,8.0,32.0,3.0,22.0,0.0,3.0,3.0,16.0,42.0,7.0,2.0,1.0,64.0,0.6361181139945984,1,RiskPerformance,DiCE-kdtree,XGBoost
9986,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,70.0,148.0,3.0,59.0,46.0,0.0,0.0,100.0,-7.0,7.0,8.0,46.0,2.0,35.0,0.0,2.0,2.0,28.0,38.0,4.0,2.0,1.0,41.0,0.540449321269989,1,RiskPerformance,DiCE-kdtree,XGBoost
3407,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,75.0,138.0,2.0,67.0,12.0,0.0,0.0,100.0,-7.0,7.0,8.0,13.0,2.0,31.0,0.0,2.0,2.0,33.0,62.0,3.0,3.0,0.0,75.0,0.5894539952278137,1,RiskPerformance,DiCE-kdtree,XGBoost
7245,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,79.0,134.0,8.0,58.0,30.0,0.0,0.0,100.0,-7.0,7.0,8.0,30.0,2.0,13.0,0.0,1.0,1.0,11.0,63.0,8.0,2.0,1.0,53.0,0.6722610592842102,1,RiskPerformance,DiCE-kdtree,XGBoost
3521,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,80.0,144.0,2.0,58.0,13.0,0.0,0.0,100.0,-7.0,7.0,8.0,19.0,1.0,21.0,6.0,0.0,0.0,22.0,51.0,2.0,2.0,0.0,67.0,0.8100553154945374,1,RiskPerformance,DiCE-kdtree,XGBoost
8151,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,83.0,143.0,2.0,57.0,22.0,0.0,0.0,100.0,-7.0,7.0,8.0,24.0,4.0,17.0,1.0,2.0,2.0,7.0,60.0,6.0,3.0,0.0,75.0,0.781423807144165,1,RiskPerformance,DiCE-kdtree,XGBoost
9036,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,0,80.0,138.0,1.0,52.0,11.0,0.0,0.0,100.0,-7.0,7.0,8.0,12.0,2.0,25.0,0.0,2.0,2.0,32.0,87.0,1.0,2.0,-8.0,75.0,0.5711765289306641,1,RiskPerformance,DiCE-kdtree,XGBoost
