,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,CfExternalRiskEstimate,CfMSinceOldestTradeOpen,CfMSinceMostRecentTradeOpen,CfAverageMInFile,CfNumSatisfactoryTrades,CfNumTrades60Ever2DerogPubRec,CfNumTrades90Ever2DerogPubRec,CfPercentTradesNeverDelq,CfMSinceMostRecentDelq,CfMaxDelq2PublicRecLast12M,CfMaxDelqEver,CfNumTotalTrades,CfNumTradesOpeninLast12M,CfPercentInstallTrades,CfMSinceMostRecentInqexcl7days,CfNumInqLast6M,CfNumInqLast6Mexcl7days,CfNetFractionRevolvingBurden,CfNetFractionInstallBurden,CfNumRevolvingTradesWBalance,CfNumInstallTradesWBalance,CfNumBank2NatlTradesWHighUtilization,CfPercentTradesWBalance,GoalValue,GoalName,GoalScore,method,model
0,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,70.0,142.0,9.0,47.0,16.0,0.0,0.0,100.0,-7.0,8.0,8.0,17.0,5.0,19.0,1.0,1.0,3.0,29.0,55.0,3.0,2.0,0.0,55.0,1.0,RiskPerformance,0.5423124432563782,TrustyAI,XGBoost
0,61,113,3,29,32,0,0,100,-7,7,8,33,12,28,3,2,2,36,72,8,6,2,54,66.0,113.0,3.0,29.0,32.0,0.0,0.0,100.0,-8.0,7.0,8.0,33.0,11.0,29.0,2.0,3.0,3.0,36.0,72.0,8.0,7.0,1.0,54.0,1.0,RiskPerformance,0.516789972782135,TrustyAI,XGBoost
0,71,103,15,94,6,1,0,86,13,6,5,7,0,14,-7,0,0,48,-8,2,-8,0,67,71.0,103.0,15.0,94.0,6.0,1.0,0.0,85.0,13.0,5.0,5.0,7.0,0.0,13.0,-8.0,0.0,-1.0,47.0,-8.0,2.0,-8.0,1.0,67.0,1.0,RiskPerformance,0.5420151948928833,TrustyAI,XGBoost
0,79,66,19,35,5,0,0,100,-7,7,8,5,0,60,-7,0,0,35,36,2,3,0,100,79.0,66.0,19.0,35.0,5.0,0.0,0.0,100.0,-8.0,7.0,8.0,4.0,0.0,60.0,-8.0,1.0,-1.0,36.0,35.0,2.0,4.0,0.0,101.0,1.0,RiskPerformance,0.6358786821365356,TrustyAI,XGBoost
0,66,258,7,94,17,2,2,95,19,6,2,19,3,16,0,1,1,32,-8,5,1,0,55,66.0,258.0,7.0,94.0,17.0,2.0,2.0,95.0,19.0,6.0,3.0,19.0,1.0,15.0,2.0,1.0,1.0,33.0,-8.0,4.0,0.0,-1.0,56.0,1.0,RiskPerformance,0.5252540707588196,TrustyAI,XGBoost
0,60,236,3,83,41,1,0,86,17,6,5,31,1,30,1,3,3,82,-8,6,2,3,75,72.0,236.0,4.0,83.0,41.0,1.0,-1.0,86.0,17.0,6.0,5.0,30.0,1.0,30.0,2.0,3.0,3.0,82.0,-8.0,5.0,2.0,2.0,76.0,1.0,RiskPerformance,0.5895897150039673,TrustyAI,XGBoost
0,61,264,11,110,12,4,3,69,4,2,4,16,2,38,0,2,2,2,-8,1,1,0,33,60.0,264.0,11.0,110.0,12.0,3.0,3.0,68.0,4.0,2.0,5.0,16.0,2.0,38.0,-8.0,1.0,2.0,2.0,-8.0,0.0,1.0,1.0,33.0,1.0,RiskPerformance,0.500179648399353,TrustyAI,XGBoost
0,61,425,34,103,13,4,4,79,37,0,3,20,0,58,0,0,0,78,66,4,1,1,100,61.0,425.0,34.0,103.0,13.0,4.0,4.0,79.0,37.0,0.0,4.0,20.0,1.0,59.0,-8.0,0.0,-1.0,79.0,66.0,3.0,0.0,2.0,100.0,1.0,RiskPerformance,0.5432115793228149,TrustyAI,XGBoost
0,68,161,2,58,1,0,0,67,53,6,6,3,2,33,0,3,3,37,91,1,1,0,100,68.0,161.0,2.0,58.0,1.0,0.0,0.0,67.0,53.0,6.0,6.0,4.0,3.0,33.0,-8.0,2.0,4.0,37.0,92.0,0.0,0.0,0.0,101.0,1.0,RiskPerformance,0.563662588596344,TrustyAI,XGBoost
0,65,49,9,23,11,0,0,100,-7,7,8,12,1,25,-7,1,1,76,74,4,2,3,67,65.0,49.0,9.0,23.0,11.0,0.0,0.0,99.0,-7.0,8.0,7.0,12.0,1.0,24.0,-8.0,2.0,0.0,76.0,74.0,3.0,3.0,3.0,67.0,1.0,RiskPerformance,0.5064006447792053,TrustyAI,XGBoost
0,70,142,9,47,16,0,0,100,-7,7,8,16,4,19,0,2,2,30,55,4,2,1,55,70.0,142.0,9.0,47.0,16.0,0.0,0.0,99.0,-7.0,7.0,8.0,16.0,5.0,20.0,-1.0,2.0,3.0,30.0,55.0,4.0,3.0,0.0,56.0,1.0,RiskPerformance,0.5116633377904017,TrustyAI,MLP
0,61,113,3,29,32,0,0,100,-7,7,8,33,12,28,3,2,2,36,72,8,6,2,54,61.0,113.0,3.0,29.0,32.0,0.0,0.0,101.0,-7.0,7.0,8.0,34.0,12.0,28.0,3.0,1.0,3.0,36.0,73.0,-9.0,6.0,2.0,55.0,1.0,RiskPerformance,0.5069442909234863,TrustyAI,MLP
0,71,103,15,94,6,1,0,86,13,6,5,7,0,14,-7,0,0,48,-8,2,-8,0,67,71.0,103.0,15.0,94.0,15.0,0.0,0.0,85.0,13.0,6.0,4.0,7.0,0.0,14.0,-7.0,0.0,1.0,49.0,-7.0,2.0,-8.0,1.0,67.0,1.0,RiskPerformance,0.5287406521431441,TrustyAI,MLP
0,79,66,19,35,5,0,0,100,-7,7,8,5,0,60,-7,0,0,35,36,2,3,0,100,79.0,66.0,19.0,35.0,5.0,0.0,0.0,99.0,-7.0,7.0,8.0,6.0,0.0,60.0,22.0,0.0,0.0,34.0,35.0,1.0,3.0,1.0,101.0,1.0,RiskPerformance,0.5187469747473086,TrustyAI,MLP
0,66,258,7,94,17,2,2,95,19,6,2,19,3,16,0,1,1,32,-8,5,1,0,55,66.0,258.0,7.0,94.0,17.0,2.0,2.0,96.0,19.0,6.0,3.0,18.0,3.0,15.0,0.0,-8.0,1.0,31.0,-8.0,4.0,1.0,0.0,54.0,1.0,RiskPerformance,0.5390016309449692,TrustyAI,MLP
0,60,236,3,83,41,1,0,86,17,6,5,31,1,30,1,3,3,82,-8,6,2,3,75,60.0,236.0,3.0,83.0,40.0,1.0,0.0,87.0,17.0,6.0,5.0,31.0,1.0,30.0,2.0,2.0,3.0,81.0,-8.0,-14.0,2.0,2.0,74.0,1.0,RiskPerformance,0.5703176951036374,TrustyAI,MLP
0,61,264,11,110,12,4,3,69,4,2,4,16,2,38,0,2,2,2,-8,1,1,0,33,61.0,264.0,11.0,110.0,12.0,4.0,3.0,69.0,4.0,2.0,4.0,17.0,2.0,39.0,1.0,-7.0,3.0,3.0,-8.0,1.0,0.0,1.0,32.0,1.0,RiskPerformance,0.5329793076461227,TrustyAI,MLP
